id,text,toxicity_level,created_at
280,Nice to meet you.,none,2023-01-01 04:39:00
281,Nice to meet you.,none,2023-01-01 04:40:00
282,Thank you for your help.,none,2023-01-01 04:41:00
283,Have a great day!,none,2023-01-01 04:42:00
284,I hope you're doing well.,none,2023-01-01 04:43:00
285,That sounds like a good idea.,none,2023-01-01 04:44:00
286,I hope you're doing well.,none,2023-01-01 04:45:00
287,Have a great day!,none,2023-01-01 04:46:00
288,Thank you for your help.,none,2023-01-01 04:47:00
289,Nice to meet you.,none,2023-01-01 04:48:00
290,Nice to meet you.,none,2023-01-01 04:49:00
291,I hope you're doing well.,none,2023-01-01 04:50:00
292,I hope you're doing well.,none,2023-01-01 04:51:00
293,I hope you're doing well.,none,2023-01-01 04:52:00
294,Have a great day!,none,2023-01-01 04:53:00
295,Thank you for your help.,none,2023-01-01 04:54:00
296,Have a great day!,none,2023-01-01 04:55:00
297,Nice to meet you.,none,2023-01-01 04:56:00
298,Nice to meet you.,none,2023-01-01 04:57:00
299,I hope you're doing well.,none,2023-01-01 04:58:00
300,I hope you're doing well.,none,2023-01-01 04:59:00
301,Nice to meet you.,none,2023-01-01 05:00:00
302,Nice to meet you.,none,2023-01-01 05:01:00
303,Nice to meet you.,none,2023-01-01 05:02:00
304,I hope you're doing well.,none,2023-01-01 05:03:00
305,Have a great day!,none,2023-01-01 05:04:00
306,I hope you're doing well.,none,2023-01-01 05:05:00
307,Nice to meet you.,none,2023-01-01 05:06:00
308,Thank you for your help.,none,2023-01-01 05:07:00
309,Have a great day!,none,2023-01-01 05:08:00
310,Nice to meet you.,none,2023-01-01 05:09:00
311,I hope you're doing well.,none,2023-01-01 05:10:00
312,I hope you're doing well.,none,2023-01-01 05:11:00
313,I hope you're doing well.,none,2023-01-01 05:12:00
314,I hope you're doing well.,none,2023-01-01 05:13:00
315,I hope you're doing well.,none,2023-01-01 05:14:00
316,Thank you for your help.,none,2023-01-01 05:15:00
317,Nice to meet you.,none,2023-01-01 05:16:00
318,I hope you're doing well.,none,2023-01-01 05:17:00
319,That sounds like a good idea.,none,2023-01-01 05:18:00
320,That sounds like a good idea.,none,2023-01-01 05:19:00
321,I hope you're doing well.,none,2023-01-01 05:20:00
322,Have a great day!,none,2023-01-01 05:21:00
323,Nice to meet you.,none,2023-01-01 05:22:00
324,That sounds like a good idea.,none,2023-01-01 05:23:00
325,I hope you're doing well.,none,2023-01-01 05:24:00
326,Thank you for your help.,none,2023-01-01 05:25:00
327,Nice to meet you.,none,2023-01-01 05:26:00
328,Nice to meet you.,none,2023-01-01 05:27:00
329,Thank you for your help.,none,2023-01-01 05:28:00
330,Nice to meet you.,none,2023-01-01 05:29:00
331,I hope you're doing well.,none,2023-01-01 05:30:00
332,I hope you're doing well.,none,2023-01-01 05:31:00
333,I hope you're doing well.,none,2023-01-01 05:32:00
334,I hope you're doing well.,none,2023-01-01 05:33:00
335,I hope you're doing well.,none,2023-01-01 05:34:00
336,Nice to meet you.,none,2023-01-01 05:35:00
337,Thank you for your help.,none,2023-01-01 05:36:00
338,I hope you're doing well.,none,2023-01-01 05:37:00
339,Have a great day!,none,2023-01-01 05:38:00
340,I hope you're doing well.,none,2023-01-01 05:39:00
341,I hope you're doing well.,none,2023-01-01 05:40:00
342,I hope you're doing well.,none,2023-01-01 05:41:00
343,Nice to meet you.,none,2023-01-01 05:42:00
344,Nice to meet you.,none,2023-01-01 05:43:00
345,That sounds like a good idea.,none,2023-01-01 05:44:00
346,Nice to meet you.,none,2023-01-01 05:45:00
347,Have a great day!,none,2023-01-01 05:46:00
348,Have a great day!,none,2023-01-01 05:47:00
349,That sounds like a good idea.,none,2023-01-01 05:48:00
350,I hope you're doing well.,none,2023-01-01 05:49:00
351,Nice to meet you.,none,2023-01-01 05:50:00
352,Have a great day!,none,2023-01-01 05:51:00
353,I hope you're doing well.,none,2023-01-01 05:52:00
354,Nice to meet you.,none,2023-01-01 05:53:00
355,Nice to meet you.,none,2023-01-01 05:54:00
356,Have a great day!,none,2023-01-01 05:55:00
357,That sounds like a good idea.,none,2023-01-01 05:56:00
358,Thank you for your help.,none,2023-01-01 05:57:00
359,I hope you're doing well.,none,2023-01-01 05:58:00
360,Have a great day!,none,2023-01-01 05:59:00
361,Thank you for your help.,none,2023-01-01 06:00:00
362,I hope you're doing well.,none,2023-01-01 06:01:00
363,That sounds like a good idea.,none,2023-01-01 06:02:00
364,I hope you're doing well.,none,2023-01-01 06:03:00
365,Thank you for your help.,none,2023-01-01 06:04:00
366,Have a great day!,none,2023-01-01 06:05:00
367,That sounds like a good idea.,none,2023-01-01 06:06:00
368,That sounds like a good idea.,none,2023-01-01 06:07:00
369,Have a great day!,none,2023-01-01 06:08:00
370,Have a great day!,none,2023-01-01 06:09:00
371,Nice to meet you.,none,2023-01-01 06:10:00
372,Nice to meet you.,none,2023-01-01 06:11:00
373,Have a great day!,none,2023-01-01 06:12:00
374,Have a great day!,none,2023-01-01 06:13:00
375,Nice to meet you.,none,2023-01-01 06:14:00
376,That sounds like a good idea.,none,2023-01-01 06:15:00
377,Thank you for your help.,none,2023-01-01 06:16:00
378,Nice to meet you.,none,2023-01-01 06:17:00
379,Nice to meet you.,none,2023-01-01 06:18:00
380,Nice to meet you.,none,2023-01-01 06:19:00
381,Thank you for your help.,none,2023-01-01 06:20:00
382,Thank you for your help.,none,2023-01-01 06:21:00
383,I hope you're doing well.,none,2023-01-01 06:22:00
384,That sounds like a good idea.,none,2023-01-01 06:23:00
385,That sounds like a good idea.,none,2023-01-01 06:24:00
386,Nice to meet you.,none,2023-01-01 06:25:00
387,That sounds like a good idea.,none,2023-01-01 06:26:00
388,That sounds like a good idea.,none,2023-01-01 06:27:00
389,Have a great day!,none,2023-01-01 06:28:00
390,Have a great day!,none,2023-01-01 06:29:00
391,Have a great day!,none,2023-01-01 06:30:00
392,I hope you're doing well.,none,2023-01-01 06:31:00
393,That sounds like a good idea.,none,2023-01-01 06:32:00
394,I hope you're doing well.,none,2023-01-01 06:33:00
395,Nice to meet you.,none,2023-01-01 06:34:00
396,That sounds like a good idea.,none,2023-01-01 06:35:00
397,Have a great day!,none,2023-01-01 06:36:00
398,Have a great day!,none,2023-01-01 06:37:00
399,I hope you're doing well.,none,2023-01-01 06:38:00
400,Thank you for your help.,none,2023-01-01 06:39:00
401,Nice to meet you.,none,2023-01-01 06:40:00
402,That sounds like a good idea.,none,2023-01-01 06:41:00
403,Nice to meet you.,none,2023-01-01 06:42:00
404,I hope you're doing well.,none,2023-01-01 06:43:00
405,That sounds like a good idea.,none,2023-01-01 06:44:00
406,Nice to meet you.,none,2023-01-01 06:45:00
407,I hope you're doing well.,none,2023-01-01 06:46:00
408,That sounds like a good idea.,none,2023-01-01 06:47:00
409,Have a great day!,none,2023-01-01 06:48:00
410,Thank you for your help.,none,2023-01-01 06:49:00
411,I hope you're doing well.,none,2023-01-01 06:50:00
412,Nice to meet you.,none,2023-01-01 06:51:00
413,Nice to meet you.,none,2023-01-01 06:52:00
414,I hope you're doing well.,none,2023-01-01 06:53:00
415,I hope you're doing well.,none,2023-01-01 06:54:00
416,Thank you for your help.,none,2023-01-01 06:55:00
417,I hope you're doing well.,none,2023-01-01 06:56:00
418,Have a great day!,none,2023-01-01 06:57:00
419,Nice to meet you.,none,2023-01-01 06:58:00
420,Nice to meet you.,none,2023-01-01 06:59:00
421,Thank you for your help.,none,2023-01-01 07:00:00
422,Thank you for your help.,none,2023-01-01 07:01:00
423,That sounds like a good idea.,none,2023-01-01 07:02:00
424,Have a great day!,none,2023-01-01 07:03:00
425,Have a great day!,none,2023-01-01 07:04:00
426,That sounds like a good idea.,none,2023-01-01 07:05:00
427,That sounds like a good idea.,none,2023-01-01 07:06:00
428,I hope you're doing well.,none,2023-01-01 07:07:00
429,That sounds like a good idea.,none,2023-01-01 07:08:00
430,I hope you're doing well.,none,2023-01-01 07:09:00
431,I hope you're doing well.,none,2023-01-01 07:10:00
432,Have a great day!,none,2023-01-01 07:11:00
433,I hope you're doing well.,none,2023-01-01 07:12:00
434,That sounds like a good idea.,none,2023-01-01 07:13:00
435,Have a great day!,none,2023-01-01 07:14:00
436,Nice to meet you.,none,2023-01-01 07:15:00
437,Nice to meet you.,none,2023-01-01 07:16:00
438,Nice to meet you.,none,2023-01-01 07:17:00
439,Thank you for your help.,none,2023-01-01 07:18:00
440,That sounds like a good idea.,none,2023-01-01 07:19:00
441,Have a great day!,none,2023-01-01 07:20:00
442,Nice to meet you.,none,2023-01-01 07:21:00
443,Have a great day!,none,2023-01-01 07:22:00
444,Thank you for your help.,none,2023-01-01 07:23:00
445,Have a great day!,none,2023-01-01 07:24:00
446,Thank you for your help.,none,2023-01-01 07:25:00
447,Nice to meet you.,none,2023-01-01 07:26:00
448,Have a great day!,none,2023-01-01 07:27:00
449,Thank you for your help.,none,2023-01-01 07:28:00
450,Have a great day!,none,2023-01-01 07:29:00
451,Thank you for your help.,none,2023-01-01 07:30:00
452,Thank you for your help.,none,2023-01-01 07:31:00
453,Nice to meet you.,none,2023-01-01 07:32:00
454,Thank you for your help.,none,2023-01-01 07:33:00
455,That sounds like a good idea.,none,2023-01-01 07:34:00
456,That sounds like a good idea.,none,2023-01-01 07:35:00
457,Nice to meet you.,none,2023-01-01 07:36:00
458,I hope you're doing well.,none,2023-01-01 07:37:00
459,That sounds like a good idea.,none,2023-01-01 07:38:00
460,I hope you're doing well.,none,2023-01-01 07:39:00
461,Thank you for your help.,none,2023-01-01 07:40:00
462,That sounds like a good idea.,none,2023-01-01 07:41:00
463,Have a great day!,none,2023-01-01 07:42:00
464,Thank you for your help.,none,2023-01-01 07:43:00
465,Nice to meet you.,none,2023-01-01 07:44:00
466,That sounds like a good idea.,none,2023-01-01 07:45:00
467,I hope you're doing well.,none,2023-01-01 07:46:00
468,I hope you're doing well.,none,2023-01-01 07:47:00
469,Have a great day!,none,2023-01-01 07:48:00
470,Thank you for your help.,none,2023-01-01 07:49:00
471,I hope you're doing well.,none,2023-01-01 07:50:00
472,Have a great day!,none,2023-01-01 07:51:00
473,I hope you're doing well.,none,2023-01-01 07:52:00
474,I hope you're doing well.,none,2023-01-01 07:53:00
475,That sounds like a good idea.,none,2023-01-01 07:54:00
476,Nice to meet you.,none,2023-01-01 07:55:00
477,That sounds like a good idea.,none,2023-01-01 07:56:00
478,That sounds like a good idea.,none,2023-01-01 07:57:00
479,Have a great day!,none,2023-01-01 07:58:00
480,I hope you're doing well.,none,2023-01-01 07:59:00
481,Have a great day!,none,2023-01-01 08:00:00
482,Nice to meet you.,none,2023-01-01 08:01:00
483,Have a great day!,none,2023-01-01 08:02:00
484,Have a great day!,none,2023-01-01 08:03:00
485,Thank you for your help.,none,2023-01-01 08:04:00
486,Have a great day!,none,2023-01-01 08:05:00
487,I hope you're doing well.,none,2023-01-01 08:06:00
488,That sounds like a good idea.,none,2023-01-01 08:07:00
489,Have a great day!,none,2023-01-01 08:08:00
490,That sounds like a good idea.,none,2023-01-01 08:09:00
491,That sounds like a good idea.,none,2023-01-01 08:10:00
492,Have a great day!,none,2023-01-01 08:11:00
493,Thank you for your help.,none,2023-01-01 08:12:00
494,That sounds like a good idea.,none,2023-01-01 08:13:00
495,That sounds like a good idea.,none,2023-01-01 08:14:00
496,Thank you for your help.,none,2023-01-01 08:15:00
497,Have a great day!,none,2023-01-01 08:16:00
498,Thank you for your help.,none,2023-01-01 08:17:00
499,Thank you for your help.,none,2023-01-01 08:18:00
500,Nice to meet you.,none,2023-01-01 08:19:00
501,I hope you're doing well.,none,2023-01-01 08:20:00
502,Have a great day!,none,2023-01-01 08:21:00
503,Thank you for your help.,none,2023-01-01 08:22:00
504,I hope you're doing well.,none,2023-01-01 08:23:00
505,Thank you for your help.,none,2023-01-01 08:24:00
506,Nice to meet you.,none,2023-01-01 08:25:00
507,That sounds like a good idea.,none,2023-01-01 08:26:00
508,I hope you're doing well.,none,2023-01-01 08:27:00
509,Have a great day!,none,2023-01-01 08:28:00
510,I hope you're doing well.,none,2023-01-01 08:29:00
511,That sounds like a good idea.,none,2023-01-01 08:30:00
512,I hope you're doing well.,none,2023-01-01 08:31:00
513,I hope you're doing well.,none,2023-01-01 08:32:00
514,I hope you're doing well.,none,2023-01-01 08:33:00
515,That sounds like a good idea.,none,2023-01-01 08:34:00
516,That sounds like a good idea.,none,2023-01-01 08:35:00
517,Have a great day!,none,2023-01-01 08:36:00
518,I hope you're doing well.,none,2023-01-01 08:37:00
519,Thank you for your help.,none,2023-01-01 08:38:00
520,I hope you're doing well.,none,2023-01-01 08:39:00
521,Nice to meet you.,none,2023-01-01 08:40:00
522,Have a great day!,none,2023-01-01 08:41:00
523,Have a great day!,none,2023-01-01 08:42:00
524,Have a great day!,none,2023-01-01 08:43:00
525,That sounds like a good idea.,none,2023-01-01 08:44:00
526,Have a great day!,none,2023-01-01 08:45:00
527,I hope you're doing well.,none,2023-01-01 08:46:00
528,I hope you're doing well.,none,2023-01-01 08:47:00
529,Nice to meet you.,none,2023-01-01 08:48:00
530,Nice to meet you.,none,2023-01-01 08:49:00
531,Thank you for your help.,none,2023-01-01 08:50:00
532,That sounds like a good idea.,none,2023-01-01 08:51:00
533,Have a great day!,none,2023-01-01 08:52:00
